Activity Number,BBE Status,OLI Category,Line #
1-35UHIWI7,BBE Available,New,6
1-35UHMB36,BBE Available,SysAdded,6
1-35UKGGHH,BBE Available,SysAdded,6
1-35UKS38X,BBE Available,New,6
1-35UMKQ2P,BBE Closed,New,6
1-35UMRTXJ,BBE Available,New,6
1-35UN6HWJ,BBE Closed,New,6
1-35UPZQTH,BBE Closed,New,6
1-35UQE717,BBE Available,SysAdded,6
1-35UQI9MH,BBE Closed,New,6
1-35UQKORY,BBE Closed,SysAdded,6
1-35UR1I72,BBE Available,SysAdded,6
1-35UTJRKY,BBE Deleted,Deleted,6
1-35UTQ4YJ,BBE Available,New,6
1-35UUZXD5,BBE Available,SysAdded,6
1-35UVARXF,BBE Available,SysAdded,6
1-35UVAY6V,BBE Deleted,Deleted,6
1-35UWRYTP,BBE Deleted,Deleted,6
1-35UWZ14I,BBE Deleted,Deleted,6
1-35UY55KV,BBE Closed,New,6
1-35UYN6O3,BBE Available,New,6
1-35UYU85X,BBE Closed,New,6
1-35V1RVPA,BBE Available,SysAdded,6
1-35V1WL93,BBE Deleted,Deleted,6
1-35V2G9QQ,BBE Deleted,Deleted,6
1-35V2ORU6,BBE Closed,SysAdded,6
1-35V3SQXW,BBE Available,New,6
1-35V3YZ57,BBE Available,SysAdded,6
1-35V6G301,BBE Closed,New,6
1-35V6OMD2,BBE Closed,SysAdded,6
1-35V7I6XA,BBE Deleted,Deleted,6
1-35V8IO4H,BBE Available,New,6
1-35V9S1BJ,BBE Closed,SysAdded,6
1-35V9YYC6,BBE Closed,SysAdded,6
1-35VAC5W0,BBE Closed,SysAdded,6
1-35VC40RQ,BBE Available,SysAdded,6
1-35VCCAJY,BBE Available,New,6
1-35VCLWN6,BBE Deleted,Deleted,6
1-35VCQ2NV,BBE Closed,SysAdded,6
1-35VDAYFL,BBE Closed,SysAdded,6
1-35VDDKO0,BBE Closed,New,6
1-35VDPKY8,BBE Available,New,6
1-35VE2FN9,BBE Available,SysAdded,6
1-35VEO722,BBE Closed,SysAdded,6
1-35VGXPVV,BBE Closed,SysAdded,6
1-35VI7HMS,BBE Available,New,6
1-35VIMIP3,BBE Available,New,6
1-35VIQ5M6,BBE Available,SysAdded,6
1-35VIWVYE,BBE Closed,SysAdded,6
1-35VIYD86,BBE Closed,SysAdded,6
1-35VJQBOU,BBE Closed,New,6
1-35VK5Y4P,BBE Closed,SysAdded,6
1-35VK6V7G,BBE Deleted,Deleted,6
1-35VK74I0,BBE Closed,SysAdded,6
1-35VKCH3I,BBE Available,New,6
1-35VL2VV2,BBE Deleted,Deleted,6
1-35VLP9VX,BBE Available,New,6
1-35VM1TDV,BBE Available,New,6
1-35VMNO83,BBE Closed,SysAdded,6
1-35VNJM0A,BBE Closed,SysAdded,6
1-35VNW7A6,BBE Closed,SysAdded,6
1-35VOG1H3,BBE Available,New,6
1-35VOJW82,BBE Closed,SysAdded,6
1-35VONRD2,BBE Available,SysAdded,6
