Activity Number,BBE Status,OLI Category,Line #
1-35VKKCS2,BBE Closed,SysAdded,5
1-35VKVEG2,BBE Closed,SysAdded,5
1-35VLUCKO,BBE Closed,SysAdded,5
1-35VM898S,BBE Closed,Added,5
1-35VME421,BBE Deleted,Deleted,5
1-35VMVRAD,BBE Available,SysAdded,5
1-35VMYQMY,BBE Available,SysAdded,5
1-35VNJOKS,BBE Closed,SysAdded,5
1-35VNOD51,BBE Closed,SysAdded,5
1-35VNQ5VV,BBE Closed,SysAdded,5
1-35VNQ974,BBE Closed,SysAdded,5
1-35VOMBY4,BBE Deleted,Deleted,5
1-35VON4ZP,BBE Closed,SysAdded,5
1-35VOQPL8,BBE Closed,Added,5
1-35VP0KXD,BBE Available,New,5
1-35VP99SO,BBE Closed,SysAdded,5
1-35VPCOHB,BBE Closed,SysAdded,5
1-35VPQ2MX,BBE Closed,SysAdded,5
1-35VPVR3S,BBE Closed,SysAdded,5
1-35VQ2AJG,BBE Deleted,Deleted,5
1-35VQ6RNW,BBE Closed,SysAdded,5
1-35VQK317,BBE Closed,Added,5
1-35VQMQY5,BBE Available,SysAdded,5
1-35VQQTNI,BBE Closed,SysAdded,5
1-35VQXTRL,BBE Available,New,5
1-35VTU7SU,BBE Available,SysAdded,5
1-35VU85S8,BBE Available,SysAdded,5
1-35VVERJ8,BBE Closed,SysAdded,5
1-35VWKC7F,BBE Available,New,5
1-35VYL6Y3,BBE Available,SysAdded,5
1-35VYNEHA,BBE Available,SysAdded,5
1-35W0OZWX,BBE Available,SysAdded,5
1-35W0VWNR,BBE Available,New,5
1-35W1OFZN,BBE Available,SysAdded,5
1-35OTQRQD,BBE Deleted,Deleted,4
1-35POA6TU,BBE Available,New,4
1-35Q4P5C1,BBE Available,New,4
1-35Q5K7W7,BBE Available,SysAdded,4
1-35RCTNLV,BBE Closed,New,4
1-35RJPHWE,BBE Available,New,4
1-35S9X41M,BBE Deleted,Deleted,4
1-35SAKXKJ,BBE Available,New,4
1-35SKHVLC,BBE Closed,New,4
1-35SKLK46,BBE Available,New,4
1-35SZ6MIL,BBE Available,New,4
1-35TEE111,BBE Closed,New,4
1-35TFSLM4,BBE Available,SysAdded,4
1-35TI7X4T,BBE Available,New,4
1-35U23D9F,BBE Available,SysAdded,4
1-35U3G0K8,BBE Closed,SysAdded,4
1-35U44Y8Q,BBE Deleted,Deleted,4
1-35U9T8CM,BBE Available,SysAdded,4
1-35UB3S44,BBE Closed,Added,4
1-35UDWK0U,BBE Available,SysAdded,4
1-35UIKAIF,BBE Closed,SysAdded,4
1-35UIL0T7,BBE Deleted,Deleted,4
1-35UPNOLC,BBE Available,SysAdded,4
1-35UX1NEI,BBE Closed,New,4
1-35UYM0SP,BBE Closed,SysAdded,4
1-35V0GYA5,BBE Closed,SysAdded,4
1-35V1ZBTS,BBE Available,SysAdded,4
1-35V28HFT,BBE Closed,New,4
1-35V2PQO9,BBE Closed,SysAdded,4
1-35V78XO2,BBE Closed,SysAdded,4
1-35V7QT4S,BBE Available,SysAdded,4
1-35V8R5YQ,BBE Available,New,4
1-35VBUE1H,BBE Available,SysAdded,4
1-35VCAOBI,BBE Available,SysAdded,4
1-35VCG5A2,BBE Available,SysAdded,4
1-35VCV8FH,BBE Available,SysAdded,4
1-35VD1QWG,BBE Deleted,Deleted,4
1-35VDV8L1,BBE Closed,SysAdded,4
1-35VEFDP2,BBE Available,SysAdded,4
1-35VEFRY4,BBE Available,SysAdded,4
1-35VEUIIF,BBE Closed,Added,4
1-35VGE560,BBE Available,SysAdded,4
1-35VIS2T2,BBE Closed,SysAdded,4
1-35VJ68W4,BBE Closed,SysAdded,4
1-35VJI2Z0,BBE Available,SysAdded,4
1-35VJJH1D,BBE Closed,New,4
1-35VK1EE4,BBE Available,New,4
1-35VLALZ0,BBE Deleted,Deleted,4
1-35VLDYP1,BBE Available,SysAdded,4
1-35VLIV0J,BBE Available,New,4
1-35VLUCAZ,BBE Available,SysAdded,4
1-35VMG6E0,BBE Available,New,4
1-35VND99U,BBE Closed,SysAdded,4
1-35VO47TL,BBE Closed,SysAdded,4
1-35VOGP9Z,BBE Available,SysAdded,4
1-35VOSIVU,BBE Deleted,Deleted,4
1-35VPI1NH,BBE Available,New,4
1-35VPJFX2,BBE Closed,SysAdded,4
1-35VPNXDZ,BBE Deleted,Deleted,4
1-35VQ2QF6,BBE Closed,SysAdded,4
1-35VQKS58,BBE Available,SysAdded,4
1-35VQLOQW,BBE Closed,Added,4
1-35VQWLAO,BBE Closed,SysAdded,4
1-35VQXYUO,BBE Available,SysAdded,4
1-35VR1H0K,BBE Available,SysAdded,4
1-35VR2KJA,BBE Available,New,4
1-35VR3RL4,BBE Closed,SysAdded,4
1-35VRBX0D,BBE Available,New,4
1-35VRXDS9,BBE Deleted,Deleted,4
1-35VU7E03,BBE Available,SysAdded,4
1-35VUFO4T,BBE Deleted,Deleted,4
1-35VV2DFS,BBE Closed,SysAdded,4
1-35VV6EB6,BBE Closed,New,4
1-35VVBMBC,BBE Available,SysAdded,4
1-35VVFRGK,BBE Available,SysAdded,4
1-35VVO494,BBE Available,SysAdded,4
1-35VVOR1M,BBE Available,New,4
1-35VVXXCG,BBE Available,SysAdded,4
1-35VVYIDL,BBE Available,SysAdded,4
1-35VW0LC9,BBE Closed,New,4
1-35VW6LAU,BBE Available,SysAdded,4
1-35VWXDB0,BBE Closed,Added,4
1-35VXA4M3,BBE Available,SysAdded,4
1-35VYNXA1,BBE Available,SysAdded,4
1-35VYRV4N,BBE Available,New,4
1-35VYWD7W,BBE Available,New,4
1-35VYYTK7,BBE Available,SysAdded,4
1-35VZ6T0O,BBE Available,SysAdded,4
1-35VZD5C6,BBE Available,SysAdded,4
1-35VZKUO0,BBE Available,SysAdded,4
1-35VZOL2C,BBE Available,SysAdded,4
1-35W0GMQV,BBE Available,SysAdded,4
1-35N8MYIX,BBE Available,New,3
1-35NJ70QD,BBE Available,New,3
1-35P2T1LC,BBE Available,SysAdded,3
1-35RGM2ZN,BBE Deleted,Deleted,3
1-35SW5YLF,BBE Available,SysAdded,3
1-35SYVIYK,BBE Closed,SysAdded,3
1-35T75PJT,BBE Available,SysAdded,3
1-35TO9DG4,BBE Available,SysAdded,3
1-35TSGMFX,BBE Available,New,3
1-35TVAQPS,BBE Available,SysAdded,3
1-35TZXK0W,BBE Available,New,3
1-35U2Z95T,BBE Closed,SysAdded,3
1-35U2ZURQ,BBE Available,SysAdded,3
1-35UA5L5S,BBE Available,New,3
1-35UC02WS,BBE Available,New,3
1-35UC8SGD,BBE Closed,SysAdded,3
1-35UGDITI,BBE Available,New,3
1-35UH4M37,BBE Available,New,3
1-35UHH1O9,BBE Available,New,3
1-35UIH8HM,BBE Available,New,3
1-35UIXPTK,BBE Available,SysAdded,3
1-35ULONX1,BBE Deleted,Deleted,3
1-35ULRRMC,BBE Available,SysAdded,3
1-35UOK8Z8,BBE Closed,SysAdded,3
1-35UQ7XYD,BBE Available,New,3
1-35UR3SK5,BBE Available,New,3
1-35UUIK4S,BBE Closed,SysAdded,3
1-35UUIZPI,BBE Closed,SysAdded,3
1-35UVCL5K,BBE Available,New,3
1-35UY9MR2,BBE Available,SysAdded,3
